predicted_x	predicted_y	predicted_ax	predicted_ay	measured_x	measured_y	actual_x	actual_y	actual_ax	actual_ay
10.6787	-3.88184	1.86908	2.08824	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904
10.7727	-3.75951	1.84603	2.108	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903
10.8741	-3.64365	1.84603	2.108	10.795	-3.60617	10.8	-3.6	0.909773	2.72931
10.9212	-3.49853	1.70338	2.1848	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928
11.0064	-3.38926	1.70338	2.1848	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928
11.0715	-3.22679	1.65044	2.32463	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925
11.1624	-3.09875	1.65044	2.32463	11.1178	-2.98807	11.1	-3	0.907725	2.72317
11.2051	-2.92495	1.52392	2.4448	11.1427	-2.86566	11.15	-2.85	0.907708	2.72314
11.289	-2.79046	1.52392	2.4448	11.1491	-2.68183	11.2	-2.7	0.908929	2.72678
11.32	-2.61084	1.38535	2.5633	11.2525	-2.55311	11.25	-2.55	0.908929	2.72678
11.3962	-2.46989	1.38535	2.5633	11.1188	-2.36202	11.2	-2.4	-0.909276	2.72782
11.3345	-2.2968	1.02351	2.64765	11.1594	-2.25598	11.15	-2.25	-0.909276	2.72782
11.3908	-2.15126	1.02351	2.64765	11.2029	-2.09837	11.25	-2.1	1.81915	2.72871
11.4053	-1.9846	0.914007	2.70306	11.3525	-1.95787	11.35	-1.95	1.81913	2.72869
11.4555	-1.8361	0.914007	2.70306	11.3011	-1.79507	11.35	-1.8	0	2.73035
11.4293	-1.68	0.713297	2.72298	11.3326	-1.67041	11.35	-1.65	0	2.73033
11.465	-1.54374	0.713297	2.72298	11.0622	-1.44342	11.3	-1.5	-0.999165	2.99748
11.3972	-1.38632	0.441308	2.77857	11.2595	-1.35818	11.25	-1.35	-0.999155	2.99745
11.4214	-1.23362	0.441308	2.77857	11.1658	-1.23674	11.2	-1.25	-0.909822	1.81964
11.3181	-1.11446	0.10618	2.69046	11.1524	-1.15803	11.15	-1.15	-0.909822	1.81964
11.3234	-0.979817	0.10618	2.69046	10.8534	-0.929069	11.05	-0.95	-1.99817	3.99632
11.1712	-0.795634	-0.308143	2.82072	10.9584	-0.728742	10.95	-0.75	-1.99816	3.99632
11.1542	-0.640401	-0.308143	2.82072	10.8608	-0.663121	10.9	-0.649999	-0.908549	1.8171
11.0192	-0.514561	-0.618175	2.74349	10.8648	-0.553034	10.85	-0.549999	-0.908532	1.81708
10.9852	-0.363603	-0.618175	2.74349	10.8451	-0.437482	10.75	-0.45	-1.8174	1.81738
10.8213	-0.271623	-0.959316	2.58863	10.6542	-0.347474	10.65	-0.35	-1.8174	1.81738
